Numéro;Dépôt de destination;Dépôt d'origine;Date;Observation;Transfert entre dépôt;Exportée;Code du client;Code du dépôt;Date de livraison prévue
DIV-261072;BOUTIQUE NESPRESSO CAP NORD;Divers;07/04/2026;COMMANDES DE CAFES ET SACS;;Coché;;DIV;
DIV-261070;Œnophile Zino Plateau;Divers;07/04/2026;COMMANDE LIQUIDE DU 07/04/2026;;Coché;;DIV;
DIV-261069;NESPRESSO ZONE 4;Divers;07/04/2026;;;Coché;;DIV;
DIV-261067;Œnophile Yop;Divers;07/04/2026;COMMANDE DE VINS ET ALCOOLS;;Coché;;DIV;
DIV-261064;BOUTIQUE NESPRESSO SOL BENI;Divers;07/04/2026;Commande de café;;Coché;;DIV;
DIV-261068;Œnophile Djibi;Divers;07/04/2026;VIN & SPIRITUEUX;;Coché;;DIV;
DIV-261065;Œnophile ALLABRA;Divers;07/04/2026;COMMANDE DU 07/04/2026;;Coché;;DIV;
DIV-261061;OENOPHILE ZONE 3;Divers;07/04/2026;commande ;;Coché;;DIV;
DIV-261066;Œnophile 2 Plateaux;Divers;07/04/2026;COMMANDE DU 07/04/2026;;Coché;;DIV;
DIV-261063;Œnophile Grand-Bassam;Divers;07/04/2026;COMMANDES LIQUIDES;;Coché;;DIV;
DIV-261062;Œnophile Zone 4;Divers;07/04/2026;COMMANDE DE VINS ET SPIRITUEUX DU 07/04/2026;;Coché;;DIV;
DIV-261060;Boutique Nespresso Cap Sud;Divers;07/04/2026;;;Coché;;DIV;
DIV-261059;Boutique Nespresso Cap Sud;Divers;07/04/2026;;;Coché;;DIV;
DIV-261058;Boutique Nespresso Djibi;Divers;04/04/2026;SUITE COMMANDE CAFE;;Coché;;DIV;
DIV-261057;Boutique Nespresso Cap Sud;Divers;04/04/2026;;;Coché;;DIV;
DIV-261056;Boutique Nespresso Cap Sud;Divers;04/04/2026;;;Coché;;DIV;
DIV-261055;Boutique Nespresso Djibi;Divers;04/04/2026;COMMANDE CAFE;;Coché;;DIV;
DIV-261054;Boutique Nespresso Cap Sud;Divers;04/04/2026;;;Coché;;DIV;
DIV-261052;Œnophile Bouaké;Divers;04/04/2026;COMMANDE OENO BOUAKE SUITE;;Coché;;DIV;
DIV-261053;Boutique Nespresso Cap Sud;Divers;04/04/2026;;;Coché;;DIV;
DIV-261051;Boutique Nespresso Cap Sud;Divers;04/04/2026;;;Coché;;DIV;
DIV-261050;Boutique Nespresso Cap Sud;Divers;04/04/2026;;;Coché;;DIV;
DIV-261049;Œnophile Yamoussoukro;Divers;04/04/2026;COMMANDE OENOPHILE YAMOUSSOUKRO;;Coché;;DIV;
DIV-261047;Œnophile Zone 4;Divers;04/04/2026;COMMANDES LIQUIDES;;Coché;;DIV;
DIV-261048;OENOPHILE 2 PLTX LATRILLE;Divers;04/04/2026;COMMANDE DE VINS ET ALCOOLS;;Coché;;DIV;
DIV-261042;Œnophile Djibi;Divers;03/04/2026;bazar ruban adhésif;;Coché;;DIV;
DIV-261045;Œnophile ALLABRA;Divers;03/04/2026;COMMANDE DU 03/04/2026;;Coché;;DIV;
DIV-261046;Œnophile Yamoussoukro;Divers;03/04/2026;COMMANDE OENOPHILE YAMOUSSOUKRO;;Coché;;DIV;
DIV-261043;Œnophile Djibi;Divers;03/04/2026;VINS ET SPIRITUEUX;;Coché;;DIV;
DIV-261044;Œnophile Bouaké;Divers;03/04/2026;COMMANDE DE L'OENOPHILE BOUAKE DU 02-04-2026;;Coché;;DIV;
DIV-261041;Œnophile San-Pédro;Divers;03/04/2026;COMMANDE VINS , ALCOOLS , NESPRESSO;;Coché;;DIV;
DIV-261040;Œnophile KORHOGO;Divers;03/04/2026;COMMADE DE L'OENOPHILE KORHOGO DU 03/04/2026;;Coché;;DIV;
DIV-261039;BOUTIQUE NESPRESSO COSMOS;Divers;03/04/2026;COMMANDE  DE CAFES;;Coché;;DIV;
DIV-261037;Œnophile Zino Plateau;Divers;03/04/2026;COMMANDE BAZAR DU 03/04/2026;;Coché;;DIV;
DIV-261038;Œnophile Sococe 2 Plateaux;Divers;03/04/2026;COMMANDE DE VIN ALCOOL ET BAZAR;;Coché;;DIV;
DIV-261036;OENOPHILE ZONE 3;Divers;03/04/2026;COMMANDE REASSORT ;;Coché;;DIV;
DIV-261035;Boutique Nespresso Cap Sud;Divers;03/04/2026;;;Coché;;DIV;
DIV-261034;Œnophile 2 Plateaux;Divers;03/04/2026;;;Coché;;DIV;
DIV-261033;Œnophile ALLABRA;Divers;02/04/2026;complement de la commande du 02/04/2026;;Coché;;DIV;
DIV-261032;NESPRESSO NOUR AL HAYAT;Divers;02/04/2026;;;Coché;;DIV;
DIV-261031;OENOPHILE ZONE 3;Divers;02/04/2026;commande ;;Coché;;DIV;
DIV-261030;OENOPHILE ZONE 3;Divers;02/04/2026;commande epicerie ;;Coché;;DIV;
DIV-261029;OENOPHILE ZONE 3;Divers;02/04/2026;commande ;;Coché;;DIV;
DIV-261028;OENOPHILE ZONE 3;Divers;02/04/2026;COMMANDE REASSORT ;;Coché;;DIV;
DIV-261025;Œnophile 2 Plateaux;Divers;02/04/2026;;;Coché;;DIV;
DIV-261024;Œnophile Djibi;Divers;02/04/2026;suite de commande 01/04/2026;;Coché;;DIV;
DIV-261026;Œnophile Zone 4;Divers;02/04/2026;COMPLEMENTS  LIQUIDES;;Coché;;DIV;
DIV-261023;BOUTIQUE NESPRESSO II PLATEAUX;Divers;02/04/2026;COMMANDE BAZAR;;Coché;;DIV;
DIV-261027;Œnophile ALLABRA;Divers;02/04/2026;COMPLEMENT DE LA COMMANDE DU 12/04/2026;;Coché;;DIV;
DIV-261020;Œnophile Yop;Divers;02/04/2026;COMMANDE DE BAZAR;;Coché;;DIV;
DIV-261019;Œnophile Yop;Divers;02/04/2026;COMMANDE DE VINS ET DE SPIRITUEUX;;Coché;;DIV;
DIV-261018;Œnophile 2 Plateaux;Divers;02/04/2026;;;Coché;;DIV;
DIV-261017;Œnophile 2 Plateaux;Divers;02/04/2026;;;Coché;;DIV;
DIV-261016;Boutique Nespresso Cap Sud;Divers;02/04/2026;;;Coché;;DIV;
DIV-261022;Œnophile Zone 4;Divers;02/04/2026;COMMANDES LIQUIDES;;Coché;;DIV;
DIV-261015;BOUTIQUE NESPRESSO II PLATEAUX;Divers;02/04/2026;COMMANDE CAFE;;Coché;;DIV;
DIV-261021;Œnophile ALLABRA;Divers;02/04/2026;COMMANDE DU 02/04/2026;;Coché;;DIV;
DIV-261014;OENOPHILE SOL BENI;Divers;02/04/2026;Commande de vins et alcools;;Coché;;DIV;
DIV-261012;OENOPHILE ZONE 3;Divers;02/04/2026;COMMANDE REASSORT ;;Coché;;DIV;
DIV-261013;Œnophile 2 Plateaux;Divers;02/04/2026;COMMANDE DU 02/04/2026;;Coché;;DIV;
DIV-261010;Œnophile Cosmos Yopougon;Divers;02/04/2026;COMMANDE DE VIN ET ALCOOL;;Coché;;DIV;
DIV-261011;Œnophile Cap Sud;Divers;02/04/2026;COMMANDE DE VINS ET SPIRITUEUX DU 02/04/2026;;Coché;;DIV;
DIV-261009;Œnophile Cosmos Yopougon;Divers;02/04/2026;COMMANDE DE VIN ET ALCOOL;;Coché;;DIV;
DIV-261008;Boutique Nespresso Cap Sud;Divers;02/04/2026;;;Coché;;DIV;
DIV-261007;Boutique Nespresso Cap Sud;Divers;01/04/2026;;;Coché;;DIV;
DIV-261006;Œnophile Plateau;Divers;01/04/2026;COMMANDE COMPLEMENTAIRE;;Coché;;DIV;
DIV-261005;Œnophile Plateau;Divers;01/04/2026;COMMANDE DE LIQUIDES;;Coché;;DIV;
DIV-261003;Œnophile BONOUMIN;Divers;01/04/2026;COMMANDE DE VINS ET ALCOOLS;;Coché;;DIV;
DIV-261004;Œnophile Djibi;Divers;01/04/2026;commande du 01/04/26;;Coché;;DIV;
DIV-261002;NESPRESSO NOUR AL HAYAT;Divers;01/04/2026;;;Coché;;DIV;
DIV-261001;Œnophile Grand-Bassam;Divers;01/04/2026;COMMANDE SUPPLEMENTAIRE;;Coché;;DIV;
DIV-260999;Œnophile Grand-Bassam;Divers;01/04/2026;COMMANDES LIQUIDES;;Coché;;DIV;
DIV-260997;BOUTIQUE NESPRESSO CAP NORD;Divers;01/04/2026;COMMANDES;;Coché;;DIV;
DIV-260998;Oenophile Faya;Divers;01/04/2026;COMMANDE LIQUIDES;;Coché;;DIV;
DIV-260996;Œnophile Zino Plateau;Divers;01/04/2026;COMMANDE LIQUIDE DU 01/04/2026;;Coché;;DIV;
DIV-261000;NESPRESSO NOUR AL HAYAT;Divers;01/04/2026;;;Coché;;DIV;
